Wall time,Step,Value
1734076900.9851468,18,1.0
1734076960.2752862,47,1.0
1734077001.3648255,62,1.0
1734077003.304781,63,1.0
1734077055.0885417,89,1.0
1734077094.6835272,103,1.0
1734077102.5276651,107,1.0
1734077144.5217097,128,1.0
1734077227.234546,164,1.0
1734077243.0957415,172,1.0
1734077281.3706498,191,1.0
1734077316.2656472,203,1.0
1734077397.8459325,244,1.0
1734077439.170329,259,1.0
1734077484.6988873,282,1.0
1734077490.5251307,285,1.0
1734077568.925616,319,1.0
1734077674.1803086,366,1.0
1734077713.742667,386,1.0
1734077756.258288,402,1.0
1734077781.6932206,415,1.0
1734077825.123742,437,1.0
1734077890.9570787,465,1.0
1734077910.665476,475,1.0
1734077922.5369859,481,1.0
1734077991.3212533,510,1.0
1734078036.2362843,533,1.0
1734078045.9755516,538,1.0
1734078049.8848073,540,1.0
1734078092.776339,556,1.0
1734078104.4247673,562,1.0
1734078170.5551023,596,1.0
1734078262.6868074,637,1.0
1734078274.349021,643,1.0
1734078276.2520907,644,1.0
1734078315.397991,658,1.0
1734078348.731714,675,1.0
1734078449.6445048,721,1.0
1734078545.0917945,764,1.0
1734078566.5007925,775,1.0
1734078634.1035721,804,1.0
1734078749.021519,857,1.0
1734078766.5114725,866,1.0
1734078805.2519562,886,1.0
1734078926.1397545,942,1.0
1734079048.2559786,999,1.0
1734079090.2584605,1015,1.0
1734079111.597346,1026,1.0
1734079132.7527812,1037,1.0
1734079180.8430572,1056,1.0
1734079209.6970894,1071,1.0
1734079294.6961844,1109,1.0
1734079298.5625322,1111,1.0
1734079325.4523435,1125,1.0
1734079338.8180509,1132,1.0
1734079389.2746418,1152,1.0
1734079412.4303954,1164,1.0
1734079431.6700482,1174,1.0
1734079435.8625288,1176,1.0
1734079451.4776456,1184,1.0
1734079528.5422318,1218,1.0
1734079605.6817057,1252,1.0
1734079609.5815322,1254,1.0
1734079615.1927671,1257,1.0
1734079634.6439364,1267,1.0
1734079642.3300016,1271,1.0
1734079757.7577472,1325,1.0
1734079796.5544796,1345,1.0
1734079867.4083362,1376,1.0
1734079957.8302474,1417,1.0
1734080046.016987,1457,1.0
1734080047.9051175,1458,1.0
1734080118.035553,1494,1.0
1734080160.3318765,1510,1.0
1734080166.174029,1513,1.0
1734080233.6917655,1548,1.0
1734080250.7286665,1551,1.0
1734080277.4327354,1565,1.0
1734080316.0550869,1585,1.0
1734080336.9985797,1596,1.0
1734080407.4409347,1627,1.0
1734080422.6735334,1635,1.0
1734080501.1533294,1670,1.0
1734080530.0715604,1685,1.0
1734080574.8965597,1702,1.0
1734080578.676203,1704,1.0
1734080592.1354492,1711,1.0
1734080732.318608,1777,1.0
1734080876.893937,1847,1.0
1734080912.810221,1860,1.0
1734080926.2470448,1867,1.0
1734080987.7525153,1899,1.0
1734081004.8760426,1902,1.0
1734081018.057009,1909,1.0
1734081077.5102031,1940,1.0
1734081126.993082,1960,1.0
1734081128.970666,1961,1.0
1734081163.6251416,1979,1.0
1734081360.6274734,2070,1.0
1734081378.042862,2079,1.0
1734081397.2588406,2089,1.0
1734081429.8017168,2100,1.0
1734081661.2323184,2209,1.0
1734081718.7102268,2239,1.0
1734081893.3885458,2319,1.0
1734081981.1812649,2359,1.0
1734082048.3228629,2394,1.0
1734082139.995248,2436,1.0
1734082149.5694425,2441,1.0
1734082186.097558,2454,1.0
1734082201.38069,2462,1.0
1734082206.9956274,2465,1.0
1734082245.3957708,2485,1.0
1734082290.9414287,2503,1.0
1734082317.9347937,2517,1.0
1734082342.7880201,2530,1.0
1734082444.5696123,2577,1.0
1734082446.5090942,2578,1.0
1734082486.9869912,2599,1.0
1734082552.2729218,2627,1.0
1734082567.6836343,2635,1.0
1734082583.1630733,2643,1.0
1734082673.1647997,2684,1.0
1734082690.2428253,2693,1.0
1734082730.1550655,2708,1.0
1734082747.3407254,2717,1.0
1734082780.03586,2734,1.0
1734082791.279214,2740,1.0
1734082827.0383518,2753,1.0
1734082828.925386,2754,1.0
1734082830.824231,2755,1.0
1734082855.4491544,2768,1.0
1734082887.8965065,2785,1.0
1734082950.9293363,2812,1.0
1734082992.4848347,2834,1.0
1734083011.9070432,2844,1.0
1734083055.636135,2861,1.0
1734083181.2775514,2921,1.0
1734083251.20619,2952,1.0
1734083270.3869054,2962,1.0
1734083291.3417156,2973,1.0
1734083418.3857427,3034,1.0
1734083522.5044868,3083,1.0
1734083524.3964593,3084,1.0
1734083572.97876,3104,1.0
1734083574.8924396,3105,1.0
1734083603.648482,3120,1.0
1734083651.421124,3145,1.0
1734083715.7145338,3173,1.0
1734083751.8291447,3192,1.0
1734083765.451932,3199,1.0
1734083810.8621628,3217,1.0
1734083816.440515,3220,1.0
1734083856.5724967,3241,1.0
1734083913.6399107,3265,1.0
1734083919.2770429,3268,1.0
1734084002.822596,3306,1.0
1734084108.4773457,3356,1.0
1734084212.3259957,3404,1.0
1734084331.6761642,3461,1.0
1734084373.1341999,3483,1.0
1734084375.0645545,3484,1.0
1734084388.4298434,3491,1.0
1734084417.327251,3500,1.0
1734084468.9122696,3526,1.0
1734084558.1239083,3566,1.0
1734084563.8779006,3569,1.0
1734084637.7721803,3600,1.0
1734084668.254099,3616,1.0
1734084751.8393378,3654,1.0
1734084757.5256271,3657,1.0
1734084765.2228608,3661,1.0
1734084778.4751081,3668,1.0
1734084784.3087473,3671,1.0
1734084820.2528317,3690,1.0
1734084874.097812,3712,1.0
1734084978.5695875,3761,1.0
1734085018.8219914,3782,1.0
1734085156.074963,3848,1.0
1734085171.651068,3850,1.0
1734085208.0081525,3869,1.0
1734085282.126762,3902,1.0
1734085299.263535,3911,1.0
1734085306.7799716,3915,1.0
1734085318.3367484,3921,1.0
1734085341.2261992,3933,1.0
