Wall time,Step,Value
1734029762.5893202,18,0.0
1734029817.5541248,47,0.0
1734029855.9221666,62,0.0
1734029857.7697573,63,0.0
1734029907.5022397,89,0.0
1734029945.7507355,103,0.0
1734029953.7858658,107,0.0
1734029995.1031737,128,0.0
1734030073.2123997,164,0.0
1734030088.2190025,172,0.0
1734030123.9801364,191,0.0
1734030156.552822,203,0.0
1734030233.9820795,244,0.0
1734030272.204561,259,0.0
1734030315.410993,282,0.0
1734030321.101255,285,0.0
1734030395.2450855,319,0.0
1734030493.386485,366,0.0
1734030531.2370083,386,0.0
1734030571.138309,402,0.0
1734030595.4226704,415,0.0
1734030636.565793,437,0.0
1734030699.8188283,465,0.0
1734030718.811124,475,0.0
1734030730.1484616,481,0.0
1734030794.9214177,510,0.0
1734030838.3210864,533,0.0
1734030847.7295568,538,0.0
1734030851.479998,540,0.0
1734030891.9639678,556,0.0
1734030903.257935,562,0.0
1734030967.249903,596,0.0
1734031054.713393,637,0.0
1734031065.9465034,643,0.0
1734031067.8195174,644,0.0
1734031104.780502,658,0.0
1734031136.7259638,675,0.0
1734031233.669409,721,0.0
1734031325.5755856,764,0.0
1734031346.189808,775,0.0
1734031410.708736,804,0.0
1734031522.6261547,857,0.0
1734031539.5130172,866,0.0
1734031577.2012222,886,0.0
1734031693.1604931,942,0.0
1734031810.395165,999,0.0
1734031850.7701936,1015,0.0
1734031871.4146354,1026,0.0
1734031892.13918,1037,0.0
1734031938.225226,1056,0.0
1734031966.4785461,1071,0.0
1734032048.402336,1109,0.0
1734032052.2224882,1111,0.0
1734032078.5810719,1125,0.0
1734032091.762849,1132,0.0
1734032139.699365,1152,0.0
1734032162.3140454,1164,0.0
1734032181.1548522,1174,0.0
1734032184.8684456,1176,0.0
1734032199.935497,1184,0.0
1734032273.8395503,1218,0.0
1734032347.8809602,1252,0.0
1734032351.700816,1254,0.0
1734032357.8097646,1257,0.0
1734032376.6128805,1267,0.0
1734032384.1140556,1271,0.0
1734032495.7273943,1325,0.0
1734032533.4571178,1345,0.0
1734032602.0865037,1376,0.0
1734032689.3090181,1417,0.0
1734032774.9800787,1457,0.0
1734032776.8627572,1458,0.0
1734032844.3950043,1494,0.0
1734032884.5958095,1510,0.0
1734032890.3217134,1513,0.0
1734032956.5278723,1548,0.0
1734032972.5642867,1551,0.0
1734032998.7086282,1565,0.0
1734033036.1016743,1585,0.0
1734033056.7283943,1596,0.0
1734033125.7885585,1627,0.0
1734033140.7942922,1635,0.0
1734033216.863129,1670,0.0
1734033245.0681028,1685,0.0
1734033287.3856215,1702,0.0
1734033291.154462,1704,0.0
1734033304.2323384,1711,0.0
1734033438.302852,1777,0.0
1734033580.08143,1847,0.0
1734033614.9750202,1860,0.0
1734033628.2480392,1867,0.0
1734033688.7801082,1899,0.0
1734033704.5993588,1902,0.0
1734033717.780857,1909,0.0
1734033776.1417427,1940,0.0
1734033824.20042,1960,0.0
1734033826.1382248,1961,0.0
1734033859.9963477,1979,0.0
1734034051.8826084,2070,0.0
1734034068.7957706,2079,0.0
1734034087.5252085,2089,0.0
1734034118.4705434,2100,0.0
1734034343.7483578,2209,0.0
1734034400.475714,2239,0.0
1734034572.1070883,2319,0.0
1734034657.3276143,2359,0.0
1734034722.8366592,2394,0.0
1734034812.069196,2436,0.0
1734034821.5038075,2441,0.0
1734034856.1131632,2454,0.0
1734034871.0530853,2462,0.0
1734034876.7029507,2465,0.0
1734034914.412129,2485,0.0
1734034958.6279933,2503,0.0
1734034984.9905217,2517,0.0
1734035009.3784814,2530,0.0
1734035108.2064085,2577,0.0
1734035110.0626278,2578,0.0
1734035149.5667741,2599,0.0
1734035212.4351454,2627,0.0
1734035227.6137772,2635,0.0
1734035242.6306956,2643,0.0
1734035330.1497116,2684,0.0
1734035346.9988296,2693,0.0
1734035385.5468593,2708,0.0
1734035402.442791,2717,0.0
1734035434.4309533,2734,0.0
1734035445.769728,2740,0.0
1734035480.3703678,2753,0.0
1734035482.2619975,2754,0.0
1734035484.129541,2755,0.0
1734035508.515131,2768,0.0
1734035540.3673897,2785,0.0
1734035601.7887514,2812,0.0
1734035643.1586902,2834,0.0
1734035661.864193,2844,0.0
1734035704.2634287,2861,0.0
1734035827.1243987,2921,0.0
1734035895.7462525,2952,0.0
1734035914.5567534,2962,0.0
1734035935.1116989,2973,0.0
1734036060.1413856,3034,0.0
1734036162.238467,3083,0.0
1734036164.1342125,3084,0.0
1734036212.1660614,3104,0.0
1734036214.097491,3105,0.0
1734036242.1349595,3120,0.0
1734036289.2273872,3145,0.0
1734036352.1285422,3173,0.0
1734036388.0194597,3192,0.0
1734036401.2070901,3199,0.0
1734036445.415347,3217,0.0
1734036451.0987678,3220,0.0
1734036490.482048,3241,0.0
1734036546.2305892,3265,0.0
1734036551.887194,3268,0.0
1734036633.4892216,3306,0.0
1734036737.9699311,3356,0.0
1734036838.739027,3404,0.0
1734036956.6699479,3461,0.0
1734036997.982686,3483,0.0
1734036999.8368213,3484,0.0
1734037013.0135336,3491,0.0
1734037040.2728586,3500,0.0
1734037089.0911841,3526,0.0
1734037175.194149,3566,0.0
1734037180.8632777,3569,0.0
1734037249.4865568,3600,0.0
1734037279.6334047,3616,0.0
1734037361.5635674,3654,0.0
1734037367.1473186,3657,0.0
1734037374.6663685,3661,0.0
1734037387.8020303,3668,0.0
1734037393.436454,3671,0.0
1734037429.0942044,3690,0.0
1734037481.855813,3712,0.0
1734037584.2299116,3761,0.0
1734037623.7917135,3782,0.0
1734037758.4522817,3848,0.0
1734037772.5121984,3850,0.0
1734037808.3871672,3869,0.0
1734037881.23243,3902,0.0
1734037898.1273413,3911,0.0
1734037905.611257,3915,0.0
1734037916.8952205,3921,0.0
1734037939.4695117,3933,0.0
1734037945.0744538,3936,0.0
1734038029.3809733,3975,0.0
1734038109.6857789,4012,0.0
1734038113.4418187,4014,0.0
1734038130.4054928,4023,0.0
1734038151.4233224,4034,0.0
1734038162.739544,4040,0.0
1734038175.9069536,4047,0.0
1734038255.9763715,4084,0.0
1734038313.3368132,4109,0.0
1734038324.6922069,4115,0.0
1734038335.9611046,4121,0.0
1734038341.5895495,4124,0.0
1734038383.5373838,4146,0.0
1734038459.7424586,4181,0.0
1734038480.5595589,4192,0.0
1734038557.1486845,4227,0.0
1734038624.0019832,4257,0.0
1734038748.8980823,4318,0.0
1734038767.5883632,4328,0.0
1734039004.7761574,4443,0.0
1734039036.1005218,4454,0.0
1734039180.6217453,4525,0.0
1734039199.4609115,4535,0.0
1734039207.0049584,4539,0.0
1734039264.4501197,4564,0.0
1734039365.006139,4612,0.0
1734039434.3932073,4649,0.0
1734039514.810229,4686,0.0
1734039522.2909088,4690,0.0
1734039526.1468391,4692,0.0
1734039537.4869616,4698,0.0
1734039565.1819966,4707,0.0
1734039608.852636,4730,0.0
1734039708.5660806,4777,0.0
1734039819.1977801,4830,0.0
1734039823.089326,4832,0.0
1734039828.724679,4835,0.0
1734039830.606997,4836,0.0
1734039846.1759713,4844,0.0
1734039928.46538,4882,0.0
1734039991.8079183,4910,0.0
1734040027.6339035,4929,0.0
1734040048.5795126,4940,0.0
1734040065.4886699,4949,0.0
1734040134.2696166,4980,0.0
1734040155.0510793,4991,0.0
1734040271.9770308,5047,0.0
1734040318.4310997,5066,0.0
1734040343.0450208,5079,0.0
1734040359.955216,5088,0.0
1734040363.7972944,5090,0.0
1734040453.7484329,5132,0.0
1734040461.331152,5136,0.0
1734040500.0401773,5151,0.0
1734040505.714859,5154,0.0
1734040507.6102846,5155,0.0
1734040567.9305623,5187,0.0
1734040602.8535895,5200,0.0
1734040649.8442938,5225,0.0
1734040674.3419359,5238,0.0
1734040712.7876868,5253,0.0
1734040729.7385457,5262,0.0
1734040735.462911,5265,0.0
1734040792.3233478,5295,0.0
1734040847.965557,5319,0.0
1734040853.6614087,5322,0.0
1734040857.4503803,5324,0.0
1734040940.2206507,5362,0.0
1734040955.361884,5370,0.0
1734041028.3841999,5403,0.0
1734041107.5308905,5445,0.0
1734041135.2315016,5454,0.0
1734041144.6380882,5459,0.0
1734041249.674447,5509,0.0
1734041272.361381,5521,0.0
1734041370.139338,5567,0.0
1734041580.3165598,5667,0.0
1734041710.2520154,5730,0.0
1734041773.769116,5758,0.0
1734041817.1667316,5781,0.0
1734041923.9971445,5832,0.0
1734041998.6444042,5866,0.0
1734042023.2032273,5879,0.0
1734042163.9352279,5948,0.0
1734042189.394806,5956,0.0
1734042237.0578816,5981,0.0
1734042267.3093626,5997,0.0
1734042300.8389864,6009,0.0
1734042394.2160127,6053,0.0
1734042441.5948699,6078,0.0
1734042514.2268958,6111,0.0
1734042518.025507,6113,0.0
1734042556.0332062,6133,0.0
1734042565.4269059,6138,0.0
1734042569.183494,6140,0.0
1734042572.9582531,6142,0.0
1734042751.0093036,6225,0.0
1734042785.662567,6243,0.0
1734042863.9494965,6279,0.0
1734042914.5394592,6300,0.0
1734042975.445227,6332,0.0
1734042979.1855037,6334,0.0
1734043034.8755238,6358,0.0
1734043036.76632,6359,0.0
1734043046.2105215,6364,0.0
1734043055.66814,6369,0.0
1734043273.0248618,6473,0.0
1734043387.3772619,6528,0.0
1734043393.0440807,6531,0.0
1734043421.5170383,6546,0.0
1734043441.45009,6551,0.0
1734043466.1701093,6564,0.0
1734043475.6057153,6569,0.0
1734043506.3810012,6585,0.0
1734043515.813625,6590,0.0
1734043532.875124,6599,0.0
1734043573.55974,6615,0.0
1734043694.6772797,6673,0.0
1734043794.0118752,6720,0.0
1734043813.0330648,6730,0.0
1734043861.89525,6750,0.0
1734043882.6623008,6761,0.0
1734043970.6021113,6802,0.0
1734044046.8486986,6842,0.0
1734044072.3483055,6850,0.0
1734044089.288736,6859,0.0
1734044122.0398324,6875,0.0
1734044212.2939446,6916,0.0
1734044218.029648,6919,0.0
1734044238.8148494,6930,0.0
1734044334.6533546,6975,0.0
1734044364.917056,6991,0.0
1734044374.418164,6996,0.0
1734044378.1975353,6998,0.0
1734044427.0202425,7018,0.0
1734044505.7914047,7054,0.0
1734044635.6644597,7117,0.0
1734044641.2796388,7120,0.0
1734044652.6032078,7126,0.0
1734044734.9898708,7164,0.0
1734044761.3723655,7178,0.0
1734044827.5391219,7207,0.0
1734044925.103069,7253,0.0
1734044965.3561883,7274,0.0
1734045040.2655704,7308,0.0
1734045096.9489923,7338,0.0
1734045135.9026237,7353,0.0
1734045162.882552,7367,0.0
